id;externalId;type;title;group;nps;samplingError;promoters;neutrals;detractors;promoter %;neutral %;detractor %;transactions;surveys;ratings;responseRate
10135;85;store;TN-MOOCA;;100,0%;100,0%;7;0;0;100,0%;0,0%;0,0%;143;86;7;8,1%
10134;84;store;TN-TUIUTI;;100,0%;100,0%;8;0;0;100,0%;0,0%;0,0%;199;125;8;6,4%
10133;83;store;TN-LAPA;;100,0%;100,0%;6;0;0;100,0%;0,0%;0,0%;119;84;6;7,1%
10070;82;store;TN-PINHEIROS;;100,0%;100,0%;5;0;0;100,0%;0,0%;0,0%;229;148;5;3,4%
10009;21;store;CANAL EMPRESAS;;100,0%;100,0%;1;0;0;100,0%;0,0%;0,0%;8;7;1;14,3%
10008;60;store;CONCEITO BRASIL;;100,0%;100,0%;9;0;0;100,0%;0,0%;0,0%;260;123;9;7,3%
10071;78;store;TN-MOEMA;;95,0%;9,7%;39;0;1;97,5%;0,0%;2,5%;415;240;40;16,7%
10040;39;store;TN-UBERLÂNDIA;;87,0%;100,0%;20;3;0;87,0%;13,0%;0,0%;1.112;461;23;5,0%
10148;88;store;TN-INDAIATUBA;;86,7%;100,0%;14;0;1;93,3%;0,0%;6,7%;310;169;15;8,9%
10069;81;store;TN-ACLIMACAO;;86,7%;100,0%;14;0;1;93,3%;0,0%;6,7%;249;157;15;9,6%
10012;38;store;TN-D.PEDRO;;83,1%;12,6%;52;4;3;88,1%;6,8%;5,1%;1.579;730;59;8,1%
10032;72;store;TN-SÃO CARLOS;;81,8%;17,7%;29;2;2;87,9%;6,1%;6,1%;1.670;839;33;3,9%
10136;86;store;TN-LEOPOLDINA;;80,0%;100,0%;12;3;0;80,0%;20,0%;0,0%;161;110;15;13,6%
10036;40;store;TN-TAMBORÉ;;80,0%;11,2%;68;8;4;85,0%;10,0%;5,0%;2.257;1.058;80;7,6%
10026;55;store;TN-PRESIDENTE PRUDENTE;;78,7%;12,9%;51;7;3;83,6%;11,5%;4,9%;1.782;833;61;7,3%
10031;64;store;TN-SANTOS;;78,0%;10,0%;91;12;6;83,5%;11,0%;5,5%;3.389;1.261;109;8,6%
10029;74;store;TN-RIBEIRAO PRETO 2;;76,9%;16,6%;32;5;2;82,1%;12,8%;5,1%;1.369;613;39;6,4%
10038;73;store;TN-TAUBATE;;74,5%;16,1%;38;6;3;80,9%;12,8%;6,4%;1.520;687;47;6,8%
10005;31;store;TN-BELVEDERE;;72,5%;19,6%;33;3;4;82,5%;7,5%;10,0%;1.075;420;40;9,5%
10018;54;store;TN-MARINGÁ;;72,2%;19,8%;29;4;3;80,6%;11,1%;8,3%;1.914;791;36;4,6%
10011;36;store;TN-CONTAGEM;;72,1%;19,7%;36;2;5;83,7%;4,7%;11,6%;1.162;518;43;8,3%
10027;66;store;TN-RAPOSO TAVARES;;71,1%;20,5%;31;3;4;81,6%;7,9%;10,5%;1.916;850;38;4,5%
10024;37;store;TN-PIRACICABA;;71,1%;18,1%;36;5;4;80,0%;11,1%;8,9%;2.203;787;45;5,7%
10035;22;store;TN-TABOÃO;;70,6%;18,3%;42;3;6;82,4%;5,9%;11,8%;2.002;873;51;5,8%
