id;externalId;type;title;group;nps;samplingError;promoters;neutrals;detractors;promoter %;neutral %;detractor %;transactions;surveys;ratings;responseRate
10008;60;store;CONCEITO BRASIL;;100,0%;100,0%;6;0;0;100,0%;0,0%;0,0%;246;116;6;5,2%
10068;77;store;TN-SUMAREZINHO;;89,3%;11,5%;25;3;0;89,3%;10,7%;0,0%;405;253;28;11,1%
10071;78;store;TN-MOEMA;;86,8%;12,9%;49;1;3;92,5%;1,9%;5,7%;590;339;53;15,6%
10040;39;store;TN-UBERLÂNDIA;;86,7%;13,2%;41;2;2;91,1%;4,4%;4,4%;1.270;491;45;9,2%
10136;86;store;TN-LEOPOLDINA;;84,2%;100,0%;17;1;1;89,5%;5,3%;5,3%;222;149;19;12,8%
10026;55;store;TN-PRESIDENTE PRUDENTE;;82,8%;9,3%;86;9;4;86,9%;9,1%;4,0%;2.094;925;99;10,7%
10135;85;store;TN-MOOCA;;80,0%;100,0%;17;2;1;85,0%;10,0%;5,0%;193;130;20;15,4%
10070;82;store;TN-PINHEIROS;;80,0%;22,2%;22;1;2;88,0%;4,0%;8,0%;368;233;25;10,7%
10034;28;store;TN-SOROCABA;;79,4%;13,2%;59;4;5;86,8%;5,9%;7,4%;2.998;986;68;6,9%
10006;48;store;TN-BRAGANÇA PAULISTA;;78,7%;11,7%;37;10;0;78,7%;21,3%;0,0%;1.315;591;47;8,0%
10038;73;store;TN-TAUBATE;;78,6%;15,5%;35;5;2;83,3%;11,9%;4,8%;1.383;627;42;6,7%
10046;26;store;TN-SAO JOSE;;77,5%;10,2%;93;11;7;83,8%;9,9%;6,3%;4.026;1.258;111;8,8%
10023;8;store;TN-PRAIA GRANDE;;75,3%;12,6%;67;8;6;82,7%;9,9%;7,4%;2.164;850;81;9,5%
10011;36;store;TN-CONTAGEM;;75,0%;15,8%;47;4;5;83,9%;7,1%;8,9%;1.281;532;56;10,5%
10002;1;store;TN-ANHANGUERA;;73,6%;10,0%;86;19;5;78,2%;17,3%;4,6%;3.501;1.473;110;7,5%
10039;51;store;TN-TIRADENTES;;73,3%;13,1%;71;7;8;82,6%;8,1%;9,3%;2.009;897;86;9,6%
