id;externalId;type;title;group;nps;samplingError;promoters;neutrals;detractors;promoter %;neutral %;detractor %;transactions;surveys;ratings;responseRate
10071;78;store;TN-MOEMA;;92,5%;10,7%;38;1;1;95,0%;2,5%;2,5%;565;310;40;12,9%
10135;85;store;TN-MOOCA;;92,3%;100,0%;12;1;0;92,3%;7,7%;0,0%;164;99;13;13,1%
10134;84;store;TN-TUIUTI;;89,5%;100,0%;18;0;1;94,7%;0,0%;5,3%;240;140;19;13,6%
10070;82;store;TN-PINHEIROS;;87,0%;100,0%;21;1;1;91,3%;4,4%;4,4%;353;222;23;10,4%
10040;39;store;TN-UBERLÂNDIA;;83,7%;14,3%;38;3;2;88,4%;7,0%;4,7%;1.336;525;43;8,2%
10026;55;store;TN-PRESIDENTE PRUDENTE;;83,0%;9,6%;88;7;5;88,0%;7,0%;5,0%;2.177;1.029;100;9,7%
10148;88;store;TN-INDAIATUBA;;79,3%;20,0%;25;2;2;86,2%;6,9%;6,9%;347;200;29;14,5%
10038;73;store;TN-TAUBATE;;78,4%;12,5%;41;9;1;80,4%;17,7%;2,0%;1.448;675;51;7,6%
10022;29;store;PRO ARICANDUVA;;77,8%;16,2%;38;4;3;84,4%;8,9%;6,7%;2.389;692;45;6,5%
10133;83;store;TN-LAPA;;76,9%;100,0%;10;3;0;76,9%;23,1%;0,0%;142;99;13;13,1%
10029;74;store;TN-RIBEIRAO PRETO 2;;75,8%;14,6%;52;5;5;83,9%;8,1%;8,1%;1.705;833;62;7,4%
10136;86;store;TN-LEOPOLDINA;;75,0%;100,0%;13;2;1;81,3%;12,5%;6,3%;178;139;16;11,5%
10069;81;store;TN-ACLIMACAO;;73,7%;100,0%;16;1;2;84,2%;5,3%;10,5%;255;164;19;11,6%
10018;54;store;TN-MARINGÁ;;73,1%;17,0%;43;4;5;82,7%;7,7%;9,6%;2.015;809;52;6,4%
10032;72;store;TN-SÃO CARLOS;;73,0%;14,7%;51;7;5;81,0%;11,1%;7,9%;1.927;962;63;6,6%
10046;26;store;TN-SAO JOSE;;72,5%;11,3%;81;14;7;79,4%;13,7%;6,9%;4.034;1.394;102;7,3%
10005;31;store;TN-BELVEDERE;;72,4%;15,7%;47;6;5;81,0%;10,3%;8,6%;1.554;536;58;10,8%
10020;27;store;TN-OSASCO;;71,8%;18,7%;31;5;3;79,5%;12,8%;7,7%;1.710;675;39;5,8%
10011;36;store;TN-CONTAGEM;;71,7%;16,8%;43;5;5;81,1%;9,4%;9,4%;1.375;553;53;9,6%
10039;51;store;TN-TIRADENTES;;71,1%;13,1%;59;12;5;77,6%;15,8%;6,6%;1.909;873;76;8,7%
10147;87;store;CDV-CENTRAL DE VENDAS;;70,8%;100,0%;18;5;1;75,0%;20,8%;4,2%;346;202;24;11,9%
10023;8;store;TN-PRAIA GRANDE;;70,5%;13,4%;71;8;9;80,7%;9,1%;10,2%;2.146;945;88;9,3%
10008;60;store;CONCEITO BRASIL;;70,0%;100,0%;8;1;1;80,0%;10,0%;10,0%;306;158;10;6,3%
10031;64;store;TN-SANTOS;;69,7%;10,8%;92;18;9;77,3%;15,1%;7,6%;3.517;1.363;119;8,7%
10037;43;store;TN-TATUAPÉ;;69,6%;17,1%;45;5;6;80,4%;8,9%;10,7%;2.841;1.060;56;5,3%
10001;75;store;TN_AMAZONAS;;68,4%;16,2%;44;8;5;77,2%;14,0%;8,8%;1.446;594;57;9,6%
10025;23;store;PRO MARGINAL;;67,7%;15,3%;47;10;5;75,8%;16,1%;8,1%;3.208;957;62;6,5%
10003;24;store;TN-ARICANDUVA;;67,7%;9,1%;143;26;17;76,9%;14,0%;9,1%;6.963;2.606;186;7,1%
10068;77;store;TN-SUMAREZINHO;;67,6%;22,7%;27;3;4;79,4%;8,8%;11,8%;437;288;34;11,8%
10021;34;store;TN-PAMPULHA;;67,4%;13,8%;67;10;9;77,9%;11,6%;10,5%;2.274;802;86;10,7%
10017;12;store;TN-JUNDIAÍ;;67,4%;12,5%;72;15;8;75,8%;15,8%;8,4%;4.957;1.681;95;5,7%
10012;38;store;TN-D.PEDRO;;66,7%;15,4%;53;9;7;76,8%;13,0%;10,1%;1.516;684;69;10,1%
