Cargo;Grupo
Ger Operacional II;A
Sup Operacional;A
Ger de Vendas I;A
Ger de Vendas III;A
Ger de Produto III;A
Sup de Vendas;A
GERENTE DE LOJA;A
Sup de Produto;A
Ger Operacional I;A
Ger de Produto II;A
Gerente Administrativo;A
Ger de Vendas II;A
SUP CARTOES E SERV FINANCEIROS;A
Sup de Televendas;A
Ger de Produto I;A
Gerente Operacional;A
Sup deProduto I;A
Enc de Caixa;B
Lider de Caixa;B
Enc de Produto;B
LIDER DE LOJA;B
ENC DE OPERACOES;B
Coord de Vendas e Operações;B
Enc CTN;B
Enc Serviços ao Cliente;B
Enc SAC;B
Sup de Depósito;B
Enc Depósito;B
Enc Prevenção de Perda;B
Vendedor(a) Televendas;C
Vendedor(a);C
Consultor(a) de Vendas;C
Vendedor(a) Especialista;C
Vendedor(a) Especialista Lider;C
Vendedor(a) Técnico;C
Vendedor(a) Projetista;C
DESIGNER PROJETISTA;C
Consult de Vendas e Operações;C
Vendedor Externo;C
Repositor(a);D
Assessor de Operações I;D
Assessor de Operações II;D
ASSESSOR DE LOJA;D
Ass Serviços ao Cliente;D
Operador(a) Caixa;D
Ass Televendas I;D
Assessor Canais Digitais;D
Ass Serviço ao Cliente;D
ASSESSOR DE LOJA I;D
Atendente de Loja;D
ASSESSOR DE LOJA II;D
ASSESSOR DE OPERACOES;D
Oficial Manutenção Eletricista;D
Ass Prevenção de Perdas;D
Ass de Expedição;D
Ass Depósito;D
Ass Recebimento;D
Ger Geral I;GG
Ger Geral II;GG
Ger Geral III;GG
GER GERAL SR;GG
