Cargo;Grupo
ANL RH REGIONAL PL;D
Ass Administrativo;D
Ass Departamento Pessoal;D
Ass Manut Serv Gerais;D
Aux Manutenção;D
Conferente;D
Consultor de Vendas Externas;C
Operador Empilhadeira;D
Sup Administrativo;B
Sup Caixa;B
Técnico Projetista;C
Técnico Seguranca Trabalho Pl;D
Anl de Logística Jr;D
Ger Geral I;GG
Ger Geral II;GG
Ger Geral III;GG
GER GERAL SR;GG
Ass de Expedição;D
Ass Depósito;D
Ass Prevenção de Perdas;D
Ass Recebimento;D
Ass Serviço ao Cliente;D
Ass Serviços ao Cliente;D
ASSESSOR DE LOJA;D
ASSESSOR DE OPERACOES;D
Assessor de Operações I;D
Assessor de Operações II;D
Atendente de Loja;D
Operador(a) Caixa;D
Repositor(a);D
Oficial Manutenção Eletricista;D
DESIGNER PROJETISTA;C
Vendedor(a);C
Vendedor(a) Especialista;C
Vendedor(a) Especialista Lider;C
Vendedor(a) Projetista;C
Enc de Caixa;B
ENC DE OPERACOES;B
Enc de Produto;B
Enc Depósito;B
Enc Prevenção de Perda;B
Enc SAC;B
Enc Serviços ao Cliente;B
Lider de Caixa;B
Enc CTN;B
Ger de Produto I;A
Ger de Produto II;A
Ger de Vendas I;A
Ger de Vendas II;A
Ger de Vendas III;A
Ger Operacional I;A
Ger Operacional II;A
Gerente Operacional;A
Sup de Produto;A
Sup de Vendas;A
Sup deProduto I;A
Sup Operacional;A
