id_unn;cod_loja;sigla_loja;safra;loja;
1;19;IMI;1;IMIGRANTES;
1;25;ZNO;1;ZONA NORTE;
1;28;SOR;1;SOROCABA;
1;43;TAT;1;TATUAPÉ;
1;8;PGD;2;PRAIA GRANDE;
1;12;JDI;2;JUNDIAÍ;
1;27;OSA;2;OSASCO;
1;31;BEL;2;BELVEDERE;
1;38;DPE;2;DOM PEDRO;
1;40;TAM;2;TAMBORÉ;
1;54;MGA;2;MARINGÁ;
1;57;ARP;2;ARICANDUVA 2;
1;70;WHL;2;W. LUIS;
1;71;RDV;2;RODA VIVA;
1;73;TBT;2;TAUBATÉ;
1;74;RPT;2;RIBEIRÃO PRETO;
1;75;AMZ;2;AMAZONAS;
1;1;ANH;3;ANHANGUERA;
1;3;MGN;3;MARGINAL;
1;9;SA1;3;SANTO ANDRÉ 1;
1;22;TAB;3;TABOÃƒO;
1;23;PMG;3;PRO-MARGINAL;
1;24;ARI;3;ARICANDUVA 1;
1;26;SJC;3;SÃO JOSÉ DOS CAMPOS;
1;29;PAR;3;PRO-ARICANDUVA;
1;30;MOR;3;MORUMBI;
1;32;GRU;3;GUARULHOS;
1;34;PAM;3;PAMPULHA;
1;36;CTG;3;CONTAGEM;
1;37;PIR;3;PIRACICABA;
1;39;UBE;3;UBERLÂNDIA;
1;48;BRG;3;BRAGANÇA;
1;51;TIR;3;TIRADENTES;
1;52;CAT;3;CATUAI;
1;55;PRU;3;PRESIDENTE PRUDENTE;
1;56;CLI;3;CAMPO LIMPO;
1;64;SAN;3;SANTOS;
1;66;RAP;3;RAPOSO;
1;72;SCA;3;SÃO CARLOS;
4;510175;LIV;1;LIVRAMENTO;TU-LIVRAMENTO
4;510248;BAG;1;BAGE;TU-BAGE
4;510281;SCR;1;SANTA CRUZ;TU-SANTA CRUZ
4;510442;SMA;1;SANTA MARIA;TU-SANTA MARIA
4;510574;IPI;1;IPIRANGA;TU-IPIRANGA
4;510639;CCH;1;CACHOEIRINHA;TU-CACHOEIRINHA
4;510019;MTZ;1;MATRIZ;TU-MATRIZ
4;510078;NHA;1;NOVO HAMBURGO;TU-NOVO HAMBURGO
4;510167;URU;1;URUGUAIANA;TU-URUGUAIANA
4;510183;CSH;2;CASA SHOP;TU-CASA SHOP
4;510230;SAN;2;SANTO ANGELO;TU-SANTO ANGELO
4;510337;SLE;2;SAO LEOPOLDO;TU-SAO LEOPOLDO
4;510361;MOM;2;MONTENEGRO;TU-MONTENEGRO
4;510388;EST;2;ESTEIO;TU-ESTEIO
4;510400;TRA;2;TRAMANDAI;TU-TRAMANDAI
4;510493;GRA;2;GRAVATAI;TU-GRAVATAI
4;510531;VIA;2;VIAMAO;TU-VIAMAO
4;510540;PEL;2;PELOTAS;TU-PELOTAS
4;510558;CPC;2;CAPAO CANOA;TU-CAPAO CANOA
4;510591;MED;2;MEDIANEIRA;TU-MEDIANEIRA
4;510612;IPA;2;IPANEMA;TU-IPANEMA
4;510752;CA2;2;CANOAS II;TU-CANOAS II
4;510779;PFO;2;PASSO FUNDO;TU-PASSO FUNDO
4;510094;CRI;2;CRISTAL;TU-CRISTAL
4;510116;CEN;2;CENTRO;TU-CENTRO
4;510141;CAX;2;CAXIAS;TU-CAXIAS
4;510159;RGD;2;RIO GRANDE;TU-RIO GRANDE
